nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,32,0.4561057
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,32,0.4563060
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,32,0.4623488
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,32,0.4745430
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,0.1,0.0192462
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,0.1,0.0221697
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,0.1,0.0253964
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,0.1,0.0317586
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,0.1,0.0443784
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,0.1,0.0694859
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,0.1,0.1196583
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,1, 0.0301116
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,1,0.0335661
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,1,0.0367027
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,1,0.0428551
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,1,0.0553114
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,1,0.0802585
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,1,0.1302409
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,2, 0.0476852
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,2,0.0530845
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,2,0.0580334
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,2,0.0656827
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,2,0.0778828
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,2,0.1025273
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,2,0.1521674
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,4, 0.0765342
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,4,0.0848658
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,4,0.0924707
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,4,0.1044392
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,4,0.1219974
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,4,0.1475350
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,4,0.1962556
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,8, 0.1230305
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,8,0.1373024
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,8,0.1490685
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,8,0.1681309
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,8,0.1957906
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,8,0.2344445
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,8,0.2878943
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,16, 0.1967779
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,16,0.2204511
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,16,0.2406536
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,16,0.2725330
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,16,0.3161712
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,16,0.3775889
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,16,0.4586408
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,32, 0.3082088
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,32,0.3502036
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,32,0.3857237
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,32,0.4378576
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,32,0.5130102
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,32,0.6123764
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,32,0.7391642
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.016,0.1,0.0124031
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.032,0.1,0.0172880
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.064,0.1,0.0230824
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.128,0.1,0.0351407
0.750000,-40.000000,0.99,1,1,1,0,1,0,0,0.256,0.1,0.0593607
